
Bei den �rztekammern registrierte ausl�ndische �rztinnen und �rzte (Anzahl). Gliederungsmerkmale: Jahre, Region, Staatsb�rgerschaft, T�tigkeitsbereich
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
T�tigkeitsbereich:;T�tigkeitsbereiche insgesamt
;"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";
"          Japan";"28";"36";"32";"38";"34";"33";"33";"37";"37";"36";"36";"39";"39";"40";"36";"43";"50";"46";"54";"54";"57";"69";"71";"70";"70";"76";"78";"79";"77";"85";"81";"87";
"          Jemen";"14";"36";"38";"36";"29";"35";"33";"35";"41";"32";"39";"46";"47";"53";"58";"64";"67";"72";"85";"103";"116";"136";"140";"156";"178";"200";"245";"269";"289";"299";"303";"307";
"          Jordanien";"194";"195";"207";"206";"197";"199";"196";"195";"205";"206";"201";"201";"196";"194";"202";"216";"224";"230";"227";"246";"336";"450";"533";"599";"648";"695";"746";"807";"844";"897";"992";"1.068";
"          Kambodscha (Kamputschea)";"16";"7";"9";"6";"3";"2";"1";"1";"1";"2";"3";"3";"3";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"1";
"          Kasachstan";"-";"-";"-";"2";"9";"26";"44";"52";"59";"82";"89";"117";"146";"175";"168";"168";"175";"184";"190";"198";"182";"189";"184";"188";"196";"202";"215";"242";"262";"268";"243";"251";
"          Katar";"8";"7";"2";"3";"4";"5";"5";"7";"9";"10";"8";"10";"9";"9";"8";"15";"14";"14";"18";"18";"16";"19";"19";"17";"13";"11";"8";"5";"5";"4";"3";"3";
"          Kirgisistan";"-";"-";"-";"-";"-";"2";"6";"4";"12";"16";"29";"34";"46";"51";"56";"61";"51";"55";"57";"65";"67";"70";"60";"64";"62";"64";"71";"76";"77";"72";"62";"67";
"          Kuwait";"3";"4";"15";"17";"19";"19";"14";"10";"5";"2";"4";"2";"2";"2";"3";"3";"17";"34";"47";"51";"50";"46";"31";"32";"23";"18";"17";"15";"15";"15";"14";"13";
"          Libanon";"74";"93";"99";"96";"89";"87";"85";"88";"83";"80";"82";"80";"87";"91";"89";"88";"92";"96";"96";"90";"92";"113";"125";"161";"188";"232";"256";"274";"286";"307";"328";"351";
"          Malaysia";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"2";"3";"4";"5";"4";"4";"10";"11";"11";"18";"25";"26";"30";"35";"38";"42";"44";
"          Malediven";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";
"          Mongolei";"3";"10";"11";"13";"12";"9";"10";"8";"9";"15";"13";"16";"20";"24";"27";"26";"29";"36";"44";"48";"47";"49";"49";"50";"48";"52";"58";"70";"79";"89";"96";"101";
"          Myanmar (Birma, Burma)";"1";"1";"1";"2";"4";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";
"          Nepal";"7";"9";"11";"10";"7";"7";"7";"6";"6";"6";"5";"5";"6";"6";"9";"8";"10";"9";"10";"11";"17";"21";"25";"33";"34";"51";"63";"71";"92";"114";"125";"139";
"          Oman";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"3";"5";"4";"4";"5";"6";"4";"6";"8";"7";"9";"6";"6";"5";"5";"4";"4";"5";"4";"5";
"          Pakistan";"10";"14";"15";"16";"15";"15";"15";"16";"17";"20";"16";"14";"14";"14";"12";"14";"15";"16";"21";"29";"29";"37";"38";"45";"55";"68";"75";"85";"106";"117";"125";"133";
"          Pal�stinensische Gebiete";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"76";"151";"207";"276";"322";"381";"432";"473";"524";
"          Philippinen";"38";"39";"42";"37";"35";"32";"33";"33";"30";"28";"29";"32";"35";"32";"33";"31";"27";"27";"30";"30";"30";"38";"37";"36";"35";"36";"38";"40";"37";"41";"42";"46";
"          Republik Korea";"15";"17";"19";"22";"25";"26";"26";"26";"29";"25";"29";"34";"38";"39";"40";"42";"50";"47";"52";"51";"56";"63";"63";"67";"74";"88";"107";"116";"131";"137";"149";"150";
